Table,Row,Risk,StdErr,LowerCL,UpperCL,_SkipLine
Table e_any_sub * any_phb,Row 2,0.0131,0.0004,0.0123,0.0140,
Table e_any_sub * any_phb,Total,0.0097,0.0001,0.0095,0.0099,
Table e_any_sub * any_phb,Difference,-0.0037,0.0005,-0.0046,-0.0029,1
Table e_any_sub * any_ptsd,Row 1,0.0021,0.0001,0.0020,0.0022,
Table e_any_sub * any_ptsd,Row 2,0.0070,0.0003,0.0064,0.0077,
Table e_any_sub * any_ptsd,Total,0.0025,0.0001,0.0024,0.0026,
Table e_any_sub * any_ptsd,Difference,-0.0050,0.0003,-0.0056,-0.0043,1
Table e_any_sub * any_som,Row 1,0.0031,0.0001,0.0030,0.0032,
Table e_any_sub * any_som,Row 2,0.0050,0.0003,0.0045,0.0056,
Table e_any_sub * any_som,Total,0.0033,0.0001,0.0031,0.0034,
Table e_any_sub * any_som,Difference,-0.0019,0.0003,-0.0025,-0.0014,1
Table e_any_sub * any_psy,Row 1,0.0016,0.0000,0.0015,0.0017,
Table e_any_sub * any_psy,Row 2,0.0036,0.0002,0.0032,0.0041,
Table e_any_sub * any_psy,Total,0.0018,0.0000,0.0017,0.0019,
Table e_any_sub * any_psy,Difference,-0.0020,0.0002,-0.0025,-0.0016,1
Table e_any_sub * any_oth,Row 1,0.0375,0.0002,0.0370,0.0379,
Table e_any_sub * any_oth,Row 2,0.0672,0.0010,0.0653,0.0692,
Table e_any_sub * any_oth,Total,0.0400,0.0002,0.0395,0.0404,
Table e_any_sub * any_oth,Difference,-0.0298,0.0010,-0.0318,-0.0278,1
Table e_any_sub * any_slp,Row 1,0.0512,0.0003,0.0507,0.0518,
Table e_any_sub * any_slp,Row 2,0.0887,0.0011,0.0865,0.0910,
Table e_any_sub * any_slp,Total,0.0544,0.0003,0.0539,0.0549,
Table e_any_sub * any_slp,Difference,-0.0375,0.0012,-0.0398,-0.0352,1
Table e_any_sub * any_sex,Row 1,0.0013,0.0000,0.0012,0.0013,
Table e_any_sub * any_sex,Row 2,0.0021,0.0002,0.0017,0.0024,
Table e_any_sub * any_sex,Total,0.0013,0.0000,0.0012,0.0014,
Table e_any_sub * any_sex,Difference,-0.0008,0.0002,-0.0012,-0.0005,1
Table e_any_sub * any_per,Row 1,0.0013,0.0000,0.0012,0.0013,
Table e_any_sub * any_per,Row 2,0.0030,0.0002,0.0026,0.0035,
Table e_any_sub * any_per,Total,0.0014,0.0000,0.0013,0.0015,
Table e_any_sub * any_per,Difference,-0.0018,0.0002,-0.0022,-0.0014,1
Table e_any_sub * any_sui,Row 1,0.0029,0.0001,0.0028,0.0031,
Table e_any_sub * any_sui,Row 2,0.0080,0.0003,0.0074,0.0087,
Table e_any_sub * any_sui,Total,0.0034,0.0001,0.0032,0.0035,
Table e_any_sub * any_sui,Difference,-0.0051,0.0003,-0.0058,-0.0044,1
Table e_any_sub * any_con,Row 1,0.0417,0.0002,0.0412,0.0422,
Table e_any_sub * any_con,Row 2,0.0492,0.0008,0.0476,0.0509,
Table e_any_sub * any_con,Total,0.0423,0.0002,0.0419,0.0428,
Table e_any_sub * any_con,Difference,-0.0076,0.0009,-0.0093,-0.0058,1
Table e_any_sub * any_dev,Row 1,0.0229,0.0002,0.0226,0.0233,
Table e_any_sub * any_dev,Row 2,0.0338,0.0007,0.0324,0.0352,
Table e_any_sub * any_dev,Total,0.0238,0.0002,0.0235,0.0242,
