Table,Row,Risk,StdErr,LowerCL,UpperCL,_SkipLine
Table e_any_oth * any_psy,Difference,-0.0014,0.0001,-0.0016,-0.0012,1
Table e_any_oth * any_oth,Row 1,0.0296,0.0002,0.0291,0.0301,
Table e_any_oth * any_oth,Row 2,0.0580,0.0004,0.0571,0.0589,
Table e_any_oth * any_oth,Total,0.0400,0.0002,0.0395,0.0404,
Table e_any_oth * any_oth,Difference,-0.0284,0.0005,-0.0294,-0.0274,1
Table e_any_oth * any_slp,Row 1,0.0435,0.0003,0.0429,0.0441,
Table e_any_oth * any_slp,Row 2,0.0734,0.0005,0.0724,0.0743,
Table e_any_oth * any_slp,Total,0.0544,0.0003,0.0539,0.0549,
Table e_any_oth * any_slp,Difference,-0.0299,0.0006,-0.0310,-0.0287,1
Table e_any_oth * any_sex,Row 1,0.0011,0.0000,0.0010,0.0012,
Table e_any_oth * any_sex,Row 2,0.0017,0.0001,0.0016,0.0019,
Table e_any_oth * any_sex,Total,0.0013,0.0000,0.0012,0.0014,
Table e_any_oth * any_sex,Difference,-0.0006,0.0001,-0.0008,-0.0005,1
Table e_any_oth * any_per,Row 1,0.0010,0.0000,0.0009,0.0011,
Table e_any_oth * any_per,Row 2,0.0021,0.0001,0.0019,0.0022,
Table e_any_oth * any_per,Total,0.0014,0.0000,0.0013,0.0015,
Table e_any_oth * any_per,Difference,-0.0010,0.0001,-0.0012,-0.0009,1
Table e_any_oth * any_sui,Row 1,0.0024,0.0001,0.0023,0.0026,
Table e_any_oth * any_sui,Row 2,0.0050,0.0001,0.0047,0.0052,
Table e_any_oth * any_sui,Total,0.0034,0.0001,0.0032,0.0035,
Table e_any_oth * any_sui,Difference,-0.0026,0.0001,-0.0029,-0.0023,1
Table e_any_oth * any_con,Row 1,0.0392,0.0003,0.0386,0.0397,
Table e_any_oth * any_con,Row 2,0.0478,0.0004,0.0471,0.0486,
Table e_any_oth * any_con,Total,0.0423,0.0002,0.0419,0.0428,
Table e_any_oth * any_con,Difference,-0.0087,0.0005,-0.0096,-0.0077,1
Table e_any_oth * any_dev,Row 1,0.0208,0.0002,0.0204,0.0212,
Table e_any_oth * any_dev,Row 2,0.0291,0.0003,0.0285,0.0298,
Table e_any_oth * any_dev,Total,0.0238,0.0002,0.0235,0.0242,
Table e_any_oth * any_dev,Difference,-0.0084,0.0004,-0.0091,-0.0076,1
Table e_any_oth * any_stm,Row 1,0.0106,0.0001,0.0104,0.0109,
Table e_any_oth * any_stm,Row 2,0.0153,0.0002,0.0148,0.0157,
Table e_any_oth * any_stm,Total,0.0123,0.0001,0.0121,0.0126,
Table e_any_oth * any_stm,Difference,-0.0046,0.0003,-0.0051,-0.0041,1
Table e_any_slp * any_adhd,Row 1,0.0327,0.0002,0.0322,0.0332,
Table e_any_slp * any_adhd,Row 2,0.0615,0.0005,0.0604,0.0626,
Table e_any_slp * any_adhd,Total,0.0405,0.0002,0.0401,0.0410,
Table e_any_slp * any_adhd,Difference,-0.0288,0.0006,-0.0299,-0.0276,1
Table e_any_slp * any_sub,Row 1,0.0053,0.0001,0.0051,0.0055,
Table e_any_slp * any_sub,Row 2,0.0095,0.0002,0.0091,0.0099,
Table e_any_slp * any_sub,Total,0.0064,0.0001,0.0063,0.0066,
Table e_any_slp * any_sub,Difference,-0.0042,0.0002,-0.0047,-0.0038,1
Table e_any_slp * any_chad,Row 1,0.0553,0.0003,0.0547,0.0559,
Table e_any_slp * any_chad,Row 2,0.0885,0.0006,0.0873,0.0897,
Table e_any_slp * any_chad,Total,0.0643,0.0003,0.0638,0.0649,
Table e_any_slp * any_chad,Difference,-0.0332,0.0007,-0.0345,-0.0318,1
Table e_any_slp * any_dep,Row 1,0.0349,0.0002,0.0345,0.0354,
Table e_any_slp * any_dep,Row 2,0.0597,0.0005,0.0587,0.0607,
Table e_any_slp * any_dep,Total,0.0417,0.0002,0.0412,0.0421,
Table e_any_slp * any_dep,Difference,-0.0248,0.0006,-0.0259,-0.0236,1
Table e_any_slp * any_str,Row 1,0.0137,0.0002,0.0134,0.0140,
Table e_any_slp * any_str,Row 2,0.0269,0.0004,0.0262,0.0276,
Table e_any_slp * any_str,Total,0.0173,0.0002,0.0170,0.0176,
Table e_any_slp * any_str,Difference,-0.0132,0.0004,-0.0140,-0.0124,1
Table e_any_slp * any_anx,Row 1,0.0255,0.0002,0.0251,0.0259,
Table e_any_slp * any_anx,Row 2,0.0431,0.0004,0.0422,0.0440,
Table e_any_slp * any_anx,Total,0.0303,0.0002,0.0299,0.0307,
Table e_any_slp * any_anx,Difference,-0.0176,0.0005,-0.0185,-0.0166,1
Table e_any_slp * any_phb,Row 1,0.0082,0.0001,0.0080,0.0085,
Table e_any_slp * any_phb,Row 2,0.0136,0.0002,0.0131,0.0141,
Table e_any_slp * any_phb,Total,0.0097,0.0001,0.0095,0.0099,
Table e_any_slp * any_phb,Difference,-0.0054,0.0003,-0.0059,-0.0048,1
Table e_any_slp * any_ptsd,Row 1,0.0018,0.0001,0.0017,0.0019,
Table e_any_slp * any_ptsd,Row 2,0.0042,0.0001,0.0040,0.0045,
Table e_any_slp * any_ptsd,Total,0.0025,0.0001,0.0024,0.0026,
Table e_any_slp * any_ptsd,Difference,-0.0024,0.0002,-0.0027,-0.0021,1
Table e_any_slp * any_som,Row 1,0.0029,0.0001,0.0027,0.0030,
Table e_any_slp * any_som,Row 2,0.0044,0.0001,0.0041,0.0047,
Table e_any_slp * any_som,Total,0.0033,0.0001,0.0031,0.0034,
Table e_any_slp * any_som,Difference,-0.0015,0.0002,-0.0018,-0.0012,1
Table e_any_slp * any_psy,Row 1,0.0014,0.0000,0.0013,0.0015,
Table e_any_slp * any_psy,Row 2,0.0029,0.0001,0.0026,0.0031,
Table e_any_slp * any_psy,Total,0.0018,0.0000,0.0017,0.0019,
Table e_any_slp * any_psy,Difference,-0.0015,0.0001,-0.0018,-0.0013,1
Table e_any_slp * any_oth,Row 1,0.0333,0.0002,0.0328,0.0338,
Table e_any_slp * any_oth,Row 2,0.0578,0.0005,0.0568,0.0588,
Table e_any_slp * any_oth,Total,0.0400,0.0002,0.0395,0.0404,
Table e_any_slp * any_oth,Difference,-0.0245,0.0006,-0.0256,-0.0233,1
Table e_any_slp * any_slp,Row 1,0.0419,0.0003,0.0414,0.0424,
Table e_any_slp * any_slp,Row 2,0.0878,0.0006,0.0866,0.0890,
Table e_any_slp * any_slp,Total,0.0544,0.0003,0.0539,0.0549,
Table e_any_slp * any_slp,Difference,-0.0459,0.0007,-0.0472,-0.0446,1
Table e_any_slp * any_sex,Row 1,0.0011,0.0000,0.0010,0.0012,
Table e_any_slp * any_sex,Row 2,0.0018,0.0001,0.0017,0.0020,
Table e_any_slp * any_sex,Total,0.0013,0.0000,0.0012,0.0014,
Table e_any_slp * any_sex,Difference,-0.0007,0.0001,-0.0009,-0.0005,1
Table e_any_slp * any_per,Row 1,0.0011,0.0000,0.0010,0.0012,
Table e_any_slp * any_per,Row 2,0.0023,0.0001,0.0021,0.0025,
Table e_any_slp * any_per,Total,0.0014,0.0000,0.0013,0.0015,
Table e_any_slp * any_per,Difference,-0.0012,0.0001,-0.0014,-0.0009,1
Table e_any_slp * any_sui,Row 1,0.0026,0.0001,0.0024,0.0027,
Table e_any_slp * any_sui,Row 2,0.0055,0.0002,0.0052,0.0058,
Table e_any_slp * any_sui,Total,0.0034,0.0001,0.0032,0.0035,
Table e_any_slp * any_sui,Difference,-0.0029,0.0002,-0.0032,-0.0026,1
Table e_any_slp * any_con,Row 1,0.0395,0.0003,0.0390,0.0400,
Table e_any_slp * any_con,Row 2,0.0499,0.0005,0.0490,0.0508,
Table e_any_slp * any_con,Total,0.0423,0.0002,0.0419,0.0428,
Table e_any_slp * any_con,Difference,-0.0104,0.0005,-0.0115,-0.0093,1
Table e_any_slp * any_dev,Row 1,0.0215,0.0002,0.0211,0.0218,
Table e_any_slp * any_dev,Row 2,0.0301,0.0004,0.0294,0.0308,
Table e_any_slp * any_dev,Total,0.0238,0.0002,0.0235,0.0242,
Table e_any_slp * any_dev,Difference,-0.0086,0.0004,-0.0095,-0.0078,1
Table e_any_slp * any_stm,Row 1,0.0111,0.0001,0.0108,0.0113,
Table e_any_slp * any_stm,Row 2,0.0157,0.0003,0.0152,0.0162,
Table e_any_slp * any_stm,Total,0.0123,0.0001,0.0121,0.0126,
Table e_any_slp * any_stm,Difference,-0.0047,0.0003,-0.0053,-0.0041,1
Table e_any_sex * any_adhd,Row 1,0.0396,0.0002,0.0392,0.0401,
Table e_any_sex * any_adhd,Row 2,0.0602,0.0013,0.0576,0.0628,
Table e_any_sex * any_adhd,Total,0.0405,0.0002,0.0401,0.0410,
Table e_any_sex * any_adhd,Difference,-0.0206,0.0013,-0.0232,-0.0180,1
Table e_any_sex * any_sub,Row 1,0.0062,0.0001,0.0060,0.0064,
Table e_any_sex * any_sub,Row 2,0.0122,0.0006,0.0110,0.0133,
Table e_any_sex * any_sub,Total,0.0064,0.0001,0.0063,0.0066,
Table e_any_sex * any_sub,Difference,-0.0060,0.0006,-0.0072,-0.0048,1
Table e_any_sex * any_chad,Row 1,0.0632,0.0003,0.0627,0.0638,
Table e_any_sex * any_chad,Row 2,0.0890,0.0016,0.0860,0.0921,
Table e_any_sex * any_chad,Total,0.0643,0.0003,0.0638,0.0649,
Table e_any_sex * any_chad,Difference,-0.0258,0.0016,-0.0289,-0.0227,1
Table e_any_sex * any_dep,Row 1,0.0406,0.0002,0.0401,0.0410,
Table e_any_sex * any_dep,Row 2,0.0654,0.0013,0.0628,0.0681,
Table e_any_sex * any_dep,Total,0.0417,0.0002,0.0412,0.0421,
Table e_any_sex * any_dep,Difference,-0.0248,0.0014,-0.0275,-0.0222,1
Table e_any_sex * any_str,Row 1,0.0167,0.0002,0.0164,0.0170,
Table e_any_sex * any_str,Row 2,0.0307,0.0010,0.0288,0.0325,
Table e_any_sex * any_str,Total,0.0173,0.0002,0.0170,0.0176,
Table e_any_sex * any_str,Difference,-0.0140,0.0010,-0.0159,-0.0121,1
Table e_any_sex * any_anx,Row 1,0.0296,0.0002,0.0292,0.0300,
Table e_any_sex * any_anx,Row 2,0.0451,0.0011,0.0429,0.0473,
Table e_any_sex * any_anx,Total,0.0303,0.0002,0.0299,0.0307,
Table e_any_sex * any_anx,Difference,-0.0155,0.0011,-0.0178,-0.0133,1
Table e_any_sex * any_phb,Row 1,0.0095,0.0001,0.0093,0.0098,
Table e_any_sex * any_phb,Row 2,0.0134,0.0006,0.0122,0.0146,
Table e_any_sex * any_phb,Total,0.0097,0.0001,0.0095,0.0099,
Table e_any_sex * any_phb,Difference,-0.0039,0.0006,-0.0051,-0.0026,1
Table e_any_sex * any_ptsd,Row 1,0.0024,0.0001,0.0023,0.0025,
Table e_any_sex * any_ptsd,Row 2,0.0047,0.0004,0.0040,0.0054,
Table e_any_sex * any_ptsd,Total,0.0025,0.0001,0.0024,0.0026,
Table e_any_sex * any_ptsd,Difference,-0.0024,0.0004,-0.0031,-0.0016,1
Table e_any_sex * any_som,Row 1,0.0032,0.0001,0.0031,0.0033,
Table e_any_sex * any_som,Row 2,0.0049,0.0004,0.0042,0.0056,
Table e_any_sex * any_som,Total,0.0033,0.0001,0.0031,0.0034,
Table e_any_sex * any_som,Difference,-0.0017,0.0004,-0.0025,-0.0010,1
Table e_any_sex * any_psy,Row 1,0.0017,0.0000,0.0016,0.0018,
Table e_any_sex * any_psy,Row 2,0.0027,0.0003,0.0022,0.0033,
Table e_any_sex * any_psy,Total,0.0018,0.0000,0.0017,0.0019,
Table e_any_sex * any_psy,Difference,-0.0010,0.0003,-0.0015,-0.0004,1
Table e_any_sex * any_oth,Row 1,0.0391,0.0002,0.0386,0.0395,
Table e_any_sex * any_oth,Row 2,0.0593,0.0013,0.0567,0.0618,
Table e_any_sex * any_oth,Total,0.0400,0.0002,0.0395,0.0404,
Table e_any_sex * any_oth,Difference,-0.0202,0.0013,-0.0228,-0.0176,1
Table e_any_sex * any_slp,Row 1,0.0534,0.0003,0.0529,0.0540,
Table e_any_sex * any_slp,Row 2,0.0747,0.0015,0.0719,0.0776,
Table e_any_sex * any_slp,Total,0.0544,0.0003,0.0539,0.0549,
Table e_any_sex * any_slp,Difference,-0.0213,0.0015,-0.0242,-0.0184,1
Table e_any_sex * any_sex,Row 1,0.0013,0.0000,0.0012,0.0013,
Table e_any_sex * any_sex,Row 2,0.0028,0.0003,0.0023,0.0034,
Table e_any_sex * any_sex,Total,0.0013,0.0000,0.0012,0.0014,
Table e_any_sex * any_sex,Difference,-0.0016,0.0003,-0.0021,-0.0010,1
Table e_any_sex * any_per,Row 1,0.0014,0.0000,0.0013,0.0014,
Table e_any_sex * any_per,Row 2,0.0024,0.0003,0.0019,0.0029,
Table e_any_sex * any_per,Total,0.0014,0.0000,0.0013,0.0015,
Table e_any_sex * any_per,Difference,-0.0010,0.0003,-0.0016,-0.0005,1
Table e_any_sex * any_sui,Row 1,0.0032,0.0001,0.0031,0.0033,
Table e_any_sex * any_sui,Row 2,0.0064,0.0004,0.0056,0.0073,
Table e_any_sex * any_sui,Total,0.0034,0.0001,0.0032,0.0035,
Table e_any_sex * any_sui,Difference,-0.0032,0.0004,-0.0041,-0.0024,1
Table e_any_sex * any_con,Row 1,0.0422,0.0002,0.0417,0.0426,
Table e_any_sex * any_con,Row 2,0.0456,0.0011,0.0434,0.0479,
Table e_any_sex * any_con,Total,0.0423,0.0002,0.0419,0.0428,
Table e_any_sex * any_con,Difference,-0.0035,0.0012,-0.0057,-0.0012,1
Table e_any_sex * any_dev,Row 1,0.0235,0.0002,0.0231,0.0238,
Table e_any_sex * any_dev,Row 2,0.0317,0.0010,0.0298,0.0335,
Table e_any_sex * any_dev,Total,0.0238,0.0002,0.0235,0.0242,
Table e_any_sex * any_dev,Difference,-0.0082,0.0010,-0.0101,-0.0063,1
Table e_any_sex * any_stm,Row 1,0.0121,0.0001,0.0119,0.0124,
Table e_any_sex * any_stm,Row 2,0.0166,0.0007,0.0152,0.0179,
Table e_any_sex * any_stm,Total,0.0123,0.0001,0.0121,0.0126,
Table e_any_sex * any_stm,Difference,-0.0044,0.0007,-0.0058,-0.0030,1
Table e_any_per * any_adhd,Row 1,0.0390,0.0002,0.0386,0.0395,
Table e_any_per * any_adhd,Row 2,0.1021,0.0023,0.0977,0.1066,
Table e_any_per * any_adhd,Total,0.0405,0.0002,0.0401,0.0410,
Table e_any_per * any_adhd,Difference,-0.0631,0.0023,-0.0676,-0.0587,1
Table e_any_per * any_sub,Row 1,0.0062,0.0001,0.0060,0.0064,
Table e_any_per * any_sub,Row 2,0.0154,0.0009,0.0137,0.0171,
Table e_any_per * any_sub,Total,0.0064,0.0001,0.0063,0.0066,
Table e_any_per * any_sub,Difference,-0.0091,0.0009,-0.0109,-0.0074,1
Table e_any_per * any_chad,Row 1,0.0623,0.0003,0.0618,0.0629,
Table e_any_per * any_chad,Row 2,0.1443,0.0026,0.1392,0.1493,
Table e_any_per * any_chad,Total,0.0643,0.0003,0.0638,0.0649,
Table e_any_per * any_chad,Difference,-0.0819,0.0026,-0.0870,-0.0768,1
Table e_any_per * any_dep,Row 1,0.0407,0.0002,0.0402,0.0411,
Table e_any_per * any_dep,Row 2,0.0824,0.0020,0.0785,0.0863,
Table e_any_per * any_dep,Total,0.0417,0.0002,0.0412,0.0421,
Table e_any_per * any_dep,Difference,-0.0418,0.0020,-0.0457,-0.0378,1
Table e_any_per * any_str,Row 1,0.0167,0.0001,0.0164,0.0170,
Table e_any_per * any_str,Row 2,0.0418,0.0015,0.0389,0.0447,
Table e_any_per * any_str,Total,0.0173,0.0002,0.0170,0.0176,
Table e_any_per * any_str,Difference,-0.0251,0.0015,-0.0280,-0.0222,1
Table e_any_per * any_anx,Row 1,0.0296,0.0002,0.0292,0.0300,
Table e_any_per * any_anx,Row 2,0.0569,0.0017,0.0536,0.0601,
Table e_any_per * any_anx,Total,0.0303,0.0002,0.0299,0.0307,
Table e_any_per * any_anx,Difference,-0.0272,0.0017,-0.0305,-0.0239,1
Table e_any_per * any_phb,Row 1,0.0095,0.0001,0.0093,0.0098,
Table e_any_per * any_phb,Row 2,0.0167,0.0009,0.0149,0.0185,
Table e_any_per * any_phb,Total,0.0097,0.0001,0.0095,0.0099,
Table e_any_per * any_phb,Difference,-0.0072,0.0009,-0.0090,-0.0054,1
Table e_any_per * any_ptsd,Row 1,0.0023,0.0001,0.0022,0.0024,
Table e_any_per * any_ptsd,Row 2,0.0091,0.0007,0.0076,0.0105,
Table e_any_per * any_ptsd,Total,0.0025,0.0001,0.0024,0.0026,
Table e_any_per * any_ptsd,Difference,-0.0068,0.0007,-0.0082,-0.0053,1
Table e_any_per * any_som,Row 1,0.0032,0.0001,0.0031,0.0033,
Table e_any_per * any_som,Row 2,0.0062,0.0006,0.0051,0.0073,
Table e_any_per * any_som,Total,0.0033,0.0001,0.0031,0.0034,
Table e_any_per * any_som,Difference,-0.0030,0.0006,-0.0041,-0.0019,1
Table e_any_per * any_psy,Row 1,0.0017,0.0000,0.0016,0.0018,
Table e_any_per * any_psy,Row 2,0.0043,0.0005,0.0033,0.0052,
Table e_any_per * any_psy,Total,0.0018,0.0000,0.0017,0.0019,
Table e_any_per * any_psy,Difference,-0.0025,0.0005,-0.0035,-0.0016,1
Table e_any_per * any_oth,Row 1,0.0387,0.0002,0.0383,0.0392,
Table e_any_per * any_oth,Row 2,0.0889,0.0021,0.0848,0.0930,
Table e_any_per * any_oth,Total,0.0400,0.0002,0.0395,0.0404,
Table e_any_per * any_oth,Difference,-0.0501,0.0021,-0.0543,-0.0460,1
Table e_any_per * any_slp,Row 1,0.0533,0.0003,0.0528,0.0538,
Table e_any_per * any_slp,Row 2,0.0980,0.0022,0.0937,0.1023,
Table e_any_per * any_slp,Total,0.0544,0.0003,0.0539,0.0549,
Table e_any_per * any_slp,Difference,-0.0447,0.0022,-0.0490,-0.0404,1
Table e_any_per * any_sex,Row 1,0.0013,0.0000,0.0012,0.0014,
Table e_any_per * any_sex,Row 2,0.0031,0.0004,0.0023,0.0039,
Table e_any_per * any_sex,Total,0.0013,0.0000,0.0012,0.0014,
Table e_any_per * any_sex,Difference,-0.0018,0.0004,-0.0026,-0.0010,1
Table e_any_per * any_per,Row 1,0.0013,0.0000,0.0013,0.0014,
Table e_any_per * any_per,Row 2,0.0046,0.0005,0.0036,0.0055,
Table e_any_per * any_per,Total,0.0014,0.0000,0.0013,0.0015,
Table e_any_per * any_per,Difference,-0.0032,0.0005,-0.0042,-0.0023,1
Table e_any_per * any_sui,Row 1,0.0032,0.0001,0.0031,0.0033,
Table e_any_per * any_sui,Row 2,0.0098,0.0007,0.0084,0.0112,
Table e_any_per * any_sui,Total,0.0034,0.0001,0.0032,0.0035,
Table e_any_per * any_sui,Difference,-0.0066,0.0007,-0.0080,-0.0052,1
Table e_any_per * any_con,Row 1,0.0420,0.0002,0.0415,0.0424,
Table e_any_per * any_con,Row 2,0.0554,0.0017,0.0522,0.0587,
Table e_any_per * any_con,Total,0.0423,0.0002,0.0419,0.0428,
Table e_any_per * any_con,Difference,-0.0135,0.0017,-0.0168,-0.0101,1
Table e_any_per * any_dev,Row 1,0.0234,0.0002,0.0231,0.0238,
Table e_any_per * any_dev,Row 2,0.0399,0.0014,0.0371,0.0428,
Table e_any_per * any_dev,Total,0.0238,0.0002,0.0235,0.0242,
Table e_any_per * any_dev,Difference,-0.0165,0.0015,-0.0194,-0.0137,1
Table e_any_per * any_stm,Row 1,0.0121,0.0001,0.0119,0.0124,
Table e_any_per * any_stm,Row 2,0.0204,0.0010,0.0184,0.0224,
Table e_any_per * any_stm,Total,0.0123,0.0001,0.0121,0.0126,
Table e_any_per * any_stm,Difference,-0.0082,0.0010,-0.0103,-0.0062,1
Table e_any_sui * any_adhd,Row 1,0.0395,0.0002,0.0390,0.0399,
Table e_any_sui * any_adhd,Row 2,0.1028,0.0027,0.0976,0.1081,
Table e_any_sui * any_adhd,Total,0.0405,0.0002,0.0401,0.0410,
Table e_any_sui * any_adhd,Difference,-0.0634,0.0027,-0.0686,-0.0581,1
Table e_any_sui * any_sub,Row 1,0.0062,0.0001,0.0061,0.0064,
Table e_any_sui * any_sub,Row 2,0.0175,0.0011,0.0154,0.0197,
Table e_any_sui * any_sub,Total,0.0064,0.0001,0.0063,0.0066,
Table e_any_sui * any_sub,Difference,-0.0113,0.0011,-0.0135,-0.0091,1
Table e_any_sui * any_chad,Row 1,0.0630,0.0003,0.0625,0.0636,
Table e_any_sui * any_chad,Row 2,0.1397,0.0030,0.1338,0.1456,
Table e_any_sui * any_chad,Total,0.0643,0.0003,0.0638,0.0649,
Table e_any_sui * any_chad,Difference,-0.0767,0.0030,-0.0826,-0.0708,1
Table e_any_sui * any_dep,Row 1,0.0408,0.0002,0.0404,0.0413,
Table e_any_sui * any_dep,Row 2,0.0903,0.0025,0.0854,0.0952,
Table e_any_sui * any_dep,Total,0.0417,0.0002,0.0412,0.0421,
Table e_any_sui * any_dep,Difference,-0.0495,0.0025,-0.0544,-0.0446,1
Table e_any_sui * any_str,Row 1,0.0167,0.0001,0.0164,0.0170,
Table e_any_sui * any_str,Row 2,0.0544,0.0020,0.0504,0.0584,
Table e_any_sui * any_str,Total,0.0173,0.0002,0.0170,0.0176,
Table e_any_sui * any_str,Difference,-0.0377,0.0020,-0.0417,-0.0337,1
Table e_any_sui * any_anx,Row 1,0.0299,0.0002,0.0295,0.0302,
Table e_any_sui * any_anx,Row 2,0.0542,0.0020,0.0504,0.0581,
Table e_any_sui * any_anx,Total,0.0303,0.0002,0.0299,0.0307,
Table e_any_sui * any_anx,Difference,-0.0244,0.0020,-0.0282,-0.0205,1
Table e_any_sui * any_phb,Row 1,0.0096,0.0001,0.0094,0.0098,
Table e_any_sui * any_phb,Row 2,0.0154,0.0010,0.0134,0.0175,
Table e_any_sui * any_phb,Total,0.0097,0.0001,0.0095,0.0099,
Table e_any_sui * any_phb,Difference,-0.0058,0.0010,-0.0079,-0.0038,1
Table e_any_sui * any_ptsd,Row 1,0.0023,0.0001,0.0022,0.0024,
Table e_any_sui * any_ptsd,Row 2,0.0120,0.0009,0.0102,0.0139,
Table e_any_sui * any_ptsd,Total,0.0025,0.0001,0.0024,0.0026,
Table e_any_sui * any_ptsd,Difference,-0.0097,0.0009,-0.0116,-0.0079,1
Table e_any_sui * any_som,Row 1,0.0032,0.0001,0.0031,0.0034,
Table e_any_sui * any_som,Row 2,0.0055,0.0006,0.0043,0.0067,
Table e_any_sui * any_som,Total,0.0033,0.0001,0.0031,0.0034,
Table e_any_sui * any_som,Difference,-0.0023,0.0006,-0.0035,-0.0011,1
Table e_any_sui * any_psy,Row 1,0.0017,0.0000,0.0016,0.0018,
Table e_any_sui * any_psy,Row 2,0.0043,0.0006,0.0032,0.0054,
Table e_any_sui * any_psy,Total,0.0018,0.0000,0.0017,0.0019,
Table e_any_sui * any_psy,Difference,-0.0026,0.0006,-0.0037,-0.0015,1
Table e_any_sui * any_oth,Row 1,0.0392,0.0002,0.0387,0.0396,
Table e_any_sui * any_oth,Row 2,0.0855,0.0025,0.0807,0.0903,
Table e_any_sui * any_oth,Total,0.0400,0.0002,0.0395,0.0404,
Table e_any_sui * any_oth,Difference,-0.0463,0.0025,-0.0512,-0.0415,1
Table e_any_sui * any_slp,Row 1,0.0534,0.0003,0.0529,0.0539,
Table e_any_sui * any_slp,Row 2,0.1083,0.0027,0.1030,0.1137,
Table e_any_sui * any_slp,Total,0.0544,0.0003,0.0539,0.0549,
Table e_any_sui * any_slp,Difference,-0.0549,0.0027,-0.0603,-0.0496,1
Table e_any_sui * any_sex,Row 1,0.0013,0.0000,0.0012,0.0014,
Table e_any_sui * any_sex,Row 2,0.0032,0.0005,0.0023,0.0041,
Table e_any_sui * any_sex,Total,0.0013,0.0000,0.0012,0.0014,
Table e_any_sui * any_sex,Difference,-0.0019,0.0005,-0.0028,-0.0010,1
Table e_any_sui * any_per,Row 1,0.0014,0.0000,0.0013,0.0014,
Table e_any_sui * any_per,Row 2,0.0042,0.0005,0.0032,0.0053,
Table e_any_sui * any_per,Total,0.0014,0.0000,0.0013,0.0015,
Table e_any_sui * any_per,Difference,-0.0029,0.0005,-0.0040,-0.0018,1
Table e_any_sui * any_sui,Row 1,0.0032,0.0001,0.0031,0.0033,
Table e_any_sui * any_sui,Row 2,0.0136,0.0010,0.0117,0.0156,
Table e_any_sui * any_sui,Total,0.0034,0.0001,0.0032,0.0035,
Table e_any_sui * any_sui,Difference,-0.0105,0.0010,-0.0124,-0.0085,1
Table e_any_sui * any_con,Row 1,0.0421,0.0002,0.0416,0.0425,
Table e_any_sui * any_con,Row 2,0.0563,0.0020,0.0524,0.0602,
Table e_any_sui * any_con,Total,0.0423,0.0002,0.0419,0.0428,
Table e_any_sui * any_con,Difference,-0.0142,0.0020,-0.0182,-0.0103,1
Table e_any_sui * any_dev,Row 1,0.0236,0.0002,0.0232,0.0239,
Table e_any_sui * any_dev,Row 2,0.0390,0.0017,0.0357,0.0423,
Table e_any_sui * any_dev,Total,0.0238,0.0002,0.0235,0.0242,
Table e_any_sui * any_dev,Difference,-0.0154,0.0017,-0.0187,-0.0121,1
Table e_any_sui * any_stm,Row 1,0.0123,0.0001,0.0120,0.0125,
Table e_any_sui * any_stm,Row 2,0.0161,0.0011,0.0140,0.0181,
Table e_any_sui * any_stm,Total,0.0123,0.0001,0.0121,0.0126,
Table e_any_sui * any_stm,Difference,-0.0038,0.0011,-0.0059,-0.0017,1
