Variable,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,tValue,ProbT,Outcome
e_any_adhd,508492,0.8355,0.0214,1523.3718974,<.0001,39.03,<.0001,any_oth
e_any_MH,508492,1.0461,0.0190,3025.3479613,<.0001,55.00,<.0001,any_oth
e_any_sub,508492,0.6160,0.0170,1307.4425777,<.0001,36.16,<.0001,any_oth
e_any_dep,508492,0.7965,0.0120,4399.0595363,<.0001,66.33,<.0001,any_oth
e_any_str,508492,0.5953,0.0118,2553.3412834,<.0001,50.53,<.0001,any_oth
e_any_anx,508492,0.5535,0.0125,1965.8814486,<.0001,44.34,<.0001,any_oth
e_any_phb,508492,0.4907,0.0216,513.82216247,<.0001,22.67,<.0001,any_oth
e_any_ptsd,508492,0.7268,0.0216,1131.177736,<.0001,33.63,<.0001,any_oth
e_any_som,508492,0.4593,0.0327,197.05691317,<.0001,14.04,<.0001,any_oth
e_any_psy,508492,0.8506,0.0221,1483.0863664,<.0001,38.51,<.0001,any_oth
e_any_oth,508492,0.7014,0.0117,3584.6629987,<.0001,59.87,<.0001,any_oth
e_any_slp,508492,0.5762,0.0120,2294.2791746,<.0001,47.90,<.0001,any_oth
e_any_sex,508492,0.4381,0.0242,328.43884364,<.0001,18.12,<.0001,any_oth
e_any_sui,508492,0.8314,0.0319,677.49578593,<.0001,26.03,<.0001,any_oth
e_any_per,508492,0.8842,0.0267,1098.8158831,<.0001,33.15,<.0001,any_oth
e_any_adhd,508492,0.8728,0.0185,2228.6165485,<.0001,47.21,<.0001,any_slp
e_any_MH,508492,0.9974,0.0161,3830.0112633,<.0001,61.89,<.0001,any_slp
e_any_sub,508492,0.5895,0.0150,1543.438226,<.0001,39.29,<.0001,any_slp
e_any_dep,508492,0.7250,0.0104,4893.8512114,<.0001,69.96,<.0001,any_slp
e_any_str,508492,0.5398,0.0102,2788.7781755,<.0001,52.81,<.0001,any_slp
e_any_anx,508492,0.5456,0.0109,2509.9681858,<.0001,50.10,<.0001,any_slp
e_any_phb,508492,0.4989,0.0188,701.64305735,<.0001,26.49,<.0001,any_slp
e_any_ptsd,508492,0.6303,0.0195,1049.6464068,<.0001,32.40,<.0001,any_slp
e_any_som,508492,0.4829,0.0285,286.8122645,<.0001,16.94,<.0001,any_slp
e_any_psy,508492,0.6817,0.0207,1088.8104937,<.0001,33.00,<.0001,any_slp
e_any_oth,508492,0.5547,0.0102,2959.2846398,<.0001,54.40,<.0001,any_slp
e_any_slp,508492,0.7891,0.0103,5843.9215833,<.0001,76.45,<.0001,any_slp
e_any_sex,508492,0.3578,0.0218,270.53278382,<.0001,16.45,<.0001,any_slp
e_any_sui,508492,0.7671,0.0285,722.29799273,<.0001,26.88,<.0001,any_slp
e_any_per,508492,0.6577,0.0252,681.14949915,<.0001,26.10,<.0001,any_slp
e_any_adhd,508492,0.7142,0.1118,40.802183088,<.0001,6.39,<.0001,any_sex
e_any_MH,508492,0.8422,0.0948,78.8963429,<.0001,8.88,<.0001,any_sex
e_any_sub,508492,0.5071,0.0907,31.273844573,<.0001,5.59,<.0001,any_sex
e_any_dep,508492,0.6688,0.0622,115.64174866,<.0001,10.75,<.0001,any_sex
e_any_str,508492,0.4990,0.0613,66.338940199,<.0001,8.14,<.0001,any_sex
e_any_anx,508492,0.3944,0.0663,35.379917772,<.0001,5.95,<.0001,any_sex
e_any_phb,508492,0.4884,0.1102,19.648303309,<.0001,4.43,<.0001,any_sex
e_any_ptsd,508492,0.5581,0.1169,22.782742068,<.0001,4.77,<.0001,any_sex
e_any_som,508492,0.1746,0.1884,0.8589058124,0.3540,0.93,0.3540,any_sex
e_any_psy,508492,0.7591,0.1150,43.54351582,<.0001,6.60,<.0001,any_sex
e_any_oth,508492,0.4565,0.0611,55.847003217,<.0001,7.47,<.0001,any_sex
e_any_slp,508492,0.4951,0.0629,61.978150938,<.0001,7.87,<.0001,any_sex
e_any_sex,508492,0.8137,0.1046,60.478484562,<.0001,7.78,<.0001,any_sex
e_any_sui,508492,0.9051,0.1525,35.246514022,<.0001,5.94,<.0001,any_sex
e_any_per,508492,0.8890,0.1310,46.053964819,<.0001,6.79,<.0001,any_sex
e_any_adhd,508492,0.9703,0.0984,97.281660939,<.0001,9.86,<.0001,any_per
e_any_MH,508492,1.4260,0.1180,146.12243337,<.0001,12.09,<.0001,any_per
e_any_sub,508492,0.8844,0.0767,132.82978545,<.0001,11.53,<.0001,any_per
e_any_dep,508492,1.1028,0.0643,294.23539948,<.0001,17.15,<.0001,any_per
e_any_str,508492,0.7783,0.0608,163.83020789,<.0001,12.80,<.0001,any_per
e_any_anx,508492,0.6910,0.0612,127.58213432,<.0001,11.30,<.0001,any_per
e_any_phb,508492,0.6496,0.1000,42.22248083,<.0001,6.50,<.0001,any_per
e_any_ptsd,508492,0.8034,0.1012,62.96453298,<.0001,7.94,<.0001,any_per
e_any_som,508492,0.6314,0.1505,17.598044901,<.0001,4.20,<.0001,any_per
e_any_psy,508492,1.0995,0.0977,126.75817435,<.0001,11.26,<.0001,any_per
e_any_oth,508492,0.7011,0.0593,139.56393249,<.0001,11.81,<.0001,any_per
e_any_slp,508492,0.7259,0.0597,147.93457913,<.0001,12.16,<.0001,any_per
e_any_sex,508492,0.5684,0.1122,25.660670452,<.0001,5.07,<.0001,any_per
e_any_sui,508492,1.1414,0.1327,73.947501074,<.0001,8.60,<.0001,any_per
e_any_per,508492,1.2343,0.1094,127.31896804,<.0001,11.28,<.0001,any_per
e_any_adhd,508492,0.9851,0.0634,241.31072657,<.0001,15.53,<.0001,any_sui
e_any_MH,508492,1.7512,0.0871,404.50575602,<.0001,20.11,<.0001,any_sui
e_any_sub,508492,1.0129,0.0481,443.66693798,<.0001,21.06,<.0001,any_sui
e_any_dep,508492,1.1045,0.0417,700.6505845,<.0001,26.47,<.0001,any_sui
e_any_str,508492,1.1742,0.0420,782.00694091,<.0001,27.96,<.0001,any_sui
e_any_anx,508492,0.6561,0.0399,269.88570649,<.0001,16.43,<.0001,any_sui
e_any_phb,508492,0.5876,0.0672,76.495718698,<.0001,8.75,<.0001,any_sui
e_any_ptsd,508492,0.9028,0.0638,200.41959435,<.0001,14.16,<.0001,any_sui
e_any_som,508492,0.5621,0.0988,32.335748385,<.0001,5.69,<.0001,any_sui
e_any_psy,508492,0.9568,0.0669,204.39742468,<.0001,14.30,<.0001,any_sui
e_any_oth,508492,0.7261,0.0386,354.58653547,<.0001,18.83,<.0001,any_sui
e_any_slp,508492,0.7552,0.0387,381.09766046,<.0001,19.52,<.0001,any_sui
e_any_sex,508492,0.6953,0.0696,99.77058636,<.0001,9.99,<.0001,any_sui
e_any_sui,508492,1.4675,0.0753,380.31127202,<.0001,19.50,<.0001,any_sui
e_any_per,508492,1.1273,0.0747,227.72424364,<.0001,15.09,<.0001,any_sui
e_any_adhd,508492,0.3838,0.0245,245.98170713,<.0001,15.68,<.0001,any_con
e_any_MH,508492,0.3086,0.0145,452.37858445,<.0001,21.27,<.0001,any_con
e_any_sub,508492,0.1747,0.0190,84.262475773,<.0001,9.18,<.0001,any_con
e_any_dep,508492,0.2599,0.0113,527.37601597,<.0001,22.96,<.0001,any_con
e_any_str,508492,0.2248,0.0113,393.60435807,<.0001,19.84,<.0001,any_con
e_any_anx,508492,0.1737,0.0129,181.09785088,<.0001,13.46,<.0001,any_con
e_any_phb,508492,0.1969,0.0233,71.169198875,<.0001,8.44,<.0001,any_con
e_any_ptsd,508492,0.1480,0.0259,32.539622495,<.0001,5.70,<.0001,any_con
e_any_som,508492,0.2138,0.0344,38.518862356,<.0001,6.21,<.0001,any_con
e_any_psy,508492,0.2562,0.0271,89.249974968,<.0001,9.45,<.0001,any_con
e_any_oth,508492,0.2095,0.0115,331.63705862,<.0001,18.21,<.0001,any_con
e_any_slp,508492,0.2448,0.0121,406.5995065,<.0001,20.16,<.0001,any_con
e_any_sex,508492,0.0826,0.0267,9.6050400072,0.0019,3.10,0.0019,any_con
e_any_sui,508492,0.3069,0.0382,64.550205049,<.0001,8.03,<.0001,any_con
e_any_per,508492,0.2929,0.0326,80.709128321,<.0001,8.98,<.0001,any_con
e_any_adhd,508492,0.6102,0.0292,437.4950861,<.0001,20.92,<.0001,any_dev
e_any_MH,508492,0.5230,0.0204,658.24684947,<.0001,25.66,<.0001,any_dev
e_any_sub,508492,0.4014,0.0232,300.58800588,<.0001,17.34,<.0001,any_dev
e_any_dep,508492,0.4583,0.0149,946.46429123,<.0001,30.76,<.0001,any_dev
e_any_str,508492,0.3481,0.0148,549.5442598,<.0001,23.44,<.0001,any_dev
e_any_anx,508492,0.3037,0.0165,339.41981112,<.0001,18.42,<.0001,any_dev
e_any_phb,508492,0.3251,0.0292,124.17719095,<.0001,11.14,<.0001,any_dev
