lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper
m_int,~~,d_thd,md_it_a,0.2266056931534291,0.0038059863185583983,59.539282116826165,0,0.21914609704340246,0.23406528926345574
d_ext,~~,m_thd,md_te_a,0.24546563666885687,0.004621386870827518,53.11514563265792,0,0.2364078848434087,0.25452338849430506
d_int,~~,m_thd,md_ti_a,0.22660569315342977,0.0038059863185584,59.539282116826314,0,0.21914609704340313,0.2340652892634564
m_thd,~~,d_thd,md_tt_a,0.1855768411324986,0.00966189647657164,19.207082334455666,0,0.16663987201606373,0.20451381024893345
mm_ext,~~,md_ext,mmd_ee_a,0.2607196095226613,0.004020960668199817,64.84012927174078,0,0.2528386714297376,0.26860054761558505
mm_ext,~~,md_int,mmd_ei_a,0.1641860706580987,0.0022110126045995636,74.25831508899716,0,0.15985256558371946,0.16851957573247794
mm_ext,~~,md_thd,mmd_et_a,0.07541470830476162,0.0044907494623447125,16.793345729286365,0,0.06661300109497337,0.08421641551454986
mm_int,~~,md_ext,mmd_ie_a,0.16418607065809876,0.0022110126045995636,74.2583150889972,0,0.15985256558371952,0.168519575732478
mm_int,~~,md_int,mmd_ii_a,0.23529862241041816,0.001996719680649164,117.84259187244501,0,0.23138512374912348,0.23921212107171283
mm_int,~~,md_thd,mmd_it_a,0.10468922015562669,0.0030566580864483605,34.24956838311897,0,0.09869828039313479,0.1106801599181186
md_ext,~~,mm_thd,mmd_te_a,0.07541470830476171,0.004490749462344714,16.79334572928638,0,0.06661300109497346,0.08421641551454996
md_int,~~,mm_thd,mmd_ti_a,0.10468922015562687,0.0030566580864483618,34.24956838311901,0,0.09869828039313497,0.11068015991811878
mm_thd,~~,md_thd,mmd_tt_a,0.0946304371097736,0.008322583413647052,11.370320056462546,0,0.07831847336069497,0.11094240085885224
dm_ext,~~,dd_ext,dmd_ee_a,0.26071960952266127,0.004020960668199819,64.84012927174074,0,0.25283867142973754,0.268600547615585
dm_ext,~~,dd_int,dmd_ei_a,0.16418607065809862,0.002211012604599564,74.25831508899712,0,0.15985256558371938,0.16851957573247786
dm_ext,~~,dd_thd,dmd_et_a,0.0754147083047616,0.004490749462344712,16.793345729286365,0,0.06661300109497335,0.08421641551454985
dm_int,~~,dd_ext,dmd_ie_a,0.16418607065809848,0.0022110126045995636,74.25831508899707,0,0.15985256558371924,0.16851957573247772
dm_int,~~,dd_int,dmd_ii_a,0.23529862241041813,0.001996719680649165,117.84259187244493,0,0.23138512374912346,0.2392121210717128
dm_int,~~,dd_thd,dmd_it_a,0.1046892201556267,0.003056658086448359,34.249568383118984,0,0.0986982803931348,0.11068015991811861
dd_ext,~~,dm_thd,dmd_te_a,0.07541470830476163,0.004490749462344712,16.793345729286372,0,0.06661300109497338,0.08421641551454988
dd_int,~~,dm_thd,dmd_ti_a,0.10468922015562639,0.003056658086448359,34.249568383118884,0,0.09869828039313448,0.11068015991811829
dm_thd,~~,dd_thd,dmd_tt_a,0.09463043710977355,0.00832258341364705,11.370320056462543,0,0.07831847336069492,0.11094240085885218
c_ext,~~,m_ext,mc_ee_i,0.26899123585252027,0.0020295731855996175,132.5358640728442,0,0.2650133455047568,0.27296912620028374
