c_ext,c_int,c_thd,m_ext,m_int,m_thd,d_ext,d_int,d_thd,mm_ext,mm_int,mm_thd,md_ext,md_int,md_thd,dm_ext,dm_int,dm_thd,dd_ext,dd_int,dd_thd
0.07869769872600632,0.04569502842312069,0.026371362881126414,0.2180881766984795,0.22294370724498758,0.1731523070328128,0.13301352339954525,0.11357340176165551,0.06315804265888533,0.40007017318841687,1,0.37190165835113687,0.18233131137464212,0.2387534936530842,0.11134334365032478,0.06225417603957422,0.06318700586367823,0.010803591747694248,0.049670555949578386,0.05599680372643386,-9.348683867329885e-4
0.0503058562430259,0.05078322670609274,0.056617099699439434,0.1154156289906477,0.11489294320784052,0.21204492219261084,0.07378392617963539,0.0619786463991653,0.07008707659936249,0.34550598576147895,0.37190165835113687,1,0.09938229184687358,0.11286001708578387,0.10346380657447123,0.023840472185675886,0.014310277082191313,-9.239769824841624e-5,0.019347095443406605,0.02521642155658352,0.01072562288037363
0.08414774378378168,0.0361789306672016,0.014519446149939219,0.22567459902548542,0.14902494847365363,0.14389864612858494,0.1558350712786234,0.10839444774274445,0.08145321227118343,0.2620616628750651,0.18233131137464212,0.09938229184687358,1,0.41875593870899197,0.33292676597151993,0.08928867798712893,0.05627800526997211,0.006194218754792928,0.055141463462678106,0.041097820278852296,-0.009028937663323253
0.06504487254958002,0.03914377679825087,0.0333639547581803,0.1657333972333536,0.18176521525430828,0.15143852025766172,0.11706856519140729,0.1065892822723988,0.07165211246211287,0.15064882256872456,0.2387534936530842,0.11286001708578387,0.41875593870899197,1,0.40844589694645844,0.05967648963220556,0.050829956019927194,0.018477484149712745,0.05067132447101405,0.05045361083213582,9.784307555813316e-4
0.04092155410391122,0.04970690493805166,0.08774227910128403,0.0773690006188421,0.10184822020977777,0.15843107296489556,0.047768008979594656,0.05089513141640736,0.050969986352824945,0.06498499485167605,0.11134334365032478,0.10346380657447123,0.33292676597151993,0.40844589694645844,1,0.03348965381055073,0.011851666239731691,0.01066838173160663,0.010888155271038426,0.011498972763273817,0.025672512903440296
0.07735536533524842,0.03751458588126258,0.02324724014000245,0.1622318924309164,0.0922072468450258,0.08278297896175815,0.23978145025778128,0.1583067699877024,0.1341363828680193,0.09161867994441839,0.06225417603957422,0.023840472185675886,0.08928867798712893,0.05967648963220556,0.03348965381055073,1,0.3772757769064116,0.29187703128995557,0.26249535229126275,0.13038872656874584,0.0345590733331923
0.05412364994072359,0.02609069871981773,0.029903456692480526,0.11543095895164238,0.08955891132622741,0.051183191659522106,0.1962054707423446,0.19587375884471103,0.16720719992376853,0.06382839981853045,0.06318700586367823,0.014310277082191313,0.05627800526997211,0.050829956019927194,0.011851666239731691,0.3772757769064116,1,0.3411169633882013,0.1677831079220768,0.2289319640710099,0.10720425633768366
0.04038335810444454,0.025341817380019862,0.06661903062680112,0.05597830521307754,0.03258413531198234,0.04005051606856773,0.09533901393233797,0.0975687359057906,0.18038385899665998,0.028978695077499287,0.010803591747694248,-9.239769824841624e-5,0.006194218754792928,0.018477484149712745,0.01066838173160663,0.29187703128995557,0.3411169633882013,1,0.08738361091428727,0.09846569828082259,0.08388124388556166
0.06594683970522731,0.025666491454939676,0.025846143501589973,0.1392973295248849,0.08344192750696254,0.06699673223719264,0.22356532746828728,0.14733174194171383,0.13238103759530448,0.06953011820866345,0.049670555949578386,0.019347095443406605,0.055141463462678106,0.05067132447101405,0.010888155271038426,0.26249535229126275,0.1677831079220768,0.08738361091428727,1,0.40918772746554916,0.2992464750444407
0.04891608855275832,0.02423152645891158,0.004409471098953022,0.10833580131754553,0.07713509575248645,0.05706661364123407,0.1691368890641197,0.18417343877971618,0.14856357091265268,0.055292035079667706,0.05599680372643386,0.02521642155658352,0.041097820278852296,0.05045361083213582,0.011498972763273817,0.13038872656874584,0.2289319640710099,0.09846569828082259,0.40918772746554916,1,0.3817871433885146
