Table,Row,Risk,ASE,LowerCL,UpperCL,ExactLowerCL,ExactUpperCL,Control
Table any_sub * any_som,Difference,-0.0118,0.0005,-0.0128,-0.0108,_,_,1
Table any_sub * any_psy,Row 1,0.0161,0.0001,0.0159,0.0163,0.0159,0.0163,
Table any_sub * any_psy,Row 2,0.1126,0.0011,0.1104,0.1148,0.1104,0.1148,
Table any_sub * any_psy,Total,0.0215,0.0001,0.0213,0.0217,0.0213,0.0217,
Table any_sub * any_psy,Difference,-0.0965,0.0011,-0.0988,-0.0943,_,_,1
Table any_sub * any_oth,Row 1,0.1876,0.0003,0.1869,0.1883,0.1869,0.1883,
Table any_sub * any_oth,Row 2,0.3507,0.0017,0.3474,0.3541,0.3474,0.3541,
Table any_sub * any_oth,Total,0.1967,0.0003,0.1961,0.1974,0.1961,0.1974,
Table any_sub * any_oth,Difference,-0.1631,0.0017,-0.1666,-0.1597,_,_,1
Table any_sub * any_slp,Row 1,0.1645,0.0003,0.1639,0.1651,0.1639,0.1651,
Table any_sub * any_slp,Row 2,0.3821,0.0017,0.3787,0.3855,0.3787,0.3855,
Table any_sub * any_slp,Total,0.1767,0.0003,0.1761,0.1773,0.1761,0.1773,
Table any_sub * any_slp,Difference,-0.2176,0.0018,-0.2210,-0.2141,_,_,1
Table any_sub * any_sex,Row 1,0.0243,0.0001,0.0241,0.0246,0.0241,0.0246,
Table any_sub * any_sex,Row 2,0.0618,0.0009,0.0601,0.0634,0.0601,0.0635,
Table any_sub * any_sex,Total,0.0264,0.0001,0.0262,0.0267,0.0262,0.0267,
Table any_sub * any_sex,Difference,-0.0374,0.0009,-0.0391,-0.0357,_,_,1
Table any_sub * any_per,Row 1,0.0090,0.0001,0.0089,0.0092,0.0089,0.0092,
Table any_sub * any_per,Row 2,0.0652,0.0009,0.0635,0.0669,0.0635,0.0669,
Table any_sub * any_per,Total,0.0122,0.0001,0.0120,0.0124,0.0120,0.0124,
Table any_sub * any_per,Difference,-0.0561,0.0009,-0.0579,-0.0544,_,_,1
Table any_sub * any_sui,Row 1,0.0050,0.0001,0.0049,0.0051,0.0049,0.0051,
Table any_sub * any_sui,Row 2,0.0793,0.0010,0.0774,0.0812,0.0775,0.0813,
Table any_sub * any_sui,Total,0.0092,0.0001,0.0090,0.0093,0.0090,0.0093,
Table any_sub * any_sui,Difference,-0.0743,0.0010,-0.0762,-0.0724,_,_,1
Table any_dep * any_adhd,Row 1,0.0071,0.0001,0.0070,0.0073,0.0070,0.0073,
Table any_dep * any_adhd,Row 2,0.0439,0.0003,0.0433,0.0446,0.0433,0.0446,
Table any_dep * any_adhd,Total,0.0167,0.0001,0.0165,0.0169,0.0165,0.0169,
Table any_dep * any_adhd,Difference,-0.0368,0.0004,-0.0375,-0.0361,_,_,1
Table any_dep * any_sub,Row 1,0.0334,0.0002,0.0331,0.0337,0.0331,0.0337,
Table any_dep * any_sub,Row 2,0.1207,0.0005,0.1196,0.1218,0.1196,0.1218,
Table any_dep * any_sub,Total,0.0560,0.0002,0.0557,0.0564,0.0557,0.0564,
Table any_dep * any_sub,Difference,-0.0873,0.0006,-0.0884,-0.0862,_,_,1
Table any_dep * any_dep,Row 1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Table any_dep * any_dep,Row 2,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,
Table any_dep * any_dep,Total,0.2595,0.0004,0.2587,0.2602,0.2587,0.2602,
