lhs,est_dd_ext,est_dd_int,est_dd_thd,est_dm_ext,est_dm_int,est_dm_thd,est_md_ext,est_md_int,est_md_thd,est_mm_ext,est_mm_int,est_mm_thd,est_d_ext,est_d_int,est_d_thd,est_m_ext,est_m_int,est_m_thd,est_c_ext,est_c_int,est_c_thd,pvalue_dd_ext,pvalue_dd_int,pvalue_dd_thd,pvalue_dm_ext,pvalue_dm_int,pvalue_dm_thd,pvalue_md_ext,pvalue_md_int,pvalue_md_thd,pvalue_mm_ext,pvalue_mm_int,pvalue_mm_thd,pvalue_d_ext,pvalue_d_int,pvalue_d_thd,pvalue_m_ext,pvalue_m_int,pvalue_m_thd,pvalue_c_ext,pvalue_c_int,pvalue_c_thd
mm_int,0.08612817610364988,0.1692098661023115,0.2508236333206076,0.16458140787814224,0.2400473907757253,0.0962362585409524,0.1708852203901155,0.29961302323503847,0.17696675934952744,0.3713812132806524,NA,0.5302241109391997,0.05255482485755233,0.07745029598019217,0.07755720418262942,0.11060679269023337,0.19414097780998107,0.16390548370130356,0.05757445064082892,0.04921865653828767,0.07459326107713966,0.13033433994597665,0.01058386080220819,0.01224868571687687,0.02144932529743615,9.449531054084304e-6,0.20814920523591865,2.034838963993479e-11,0,6.535783330097189e-7,4.440892098500626e-16,NA,0,0.324866700757239,0.15029738459082753,0.32506797447019875,3.017183850073657e-5,3.9968028886505635e-15,7.02638982552628e-8,0.2782096169732715,0.37188545228703473,0.22601170655559133
mm_thd,-0.04288864490459322,-0.16539402092709263,-0.1112132334678872,-0.04402524493633718,0.10741133029884949,0.04104348090559792,0.1702267620816822,0.17696675934952746,0.2029822173118943,0.29156876722589664,0.5302241109391997,NA,0.0714567483470051,-0.08521360139021882,-0.15061977312337152,0.09515628735029934,0.09006124616187208,0.11799285448459965,-0.01148119665177215,-0.05302885051934207,-0.06916981359939021,0.576678075232558,0.07799389784899624,0.4511600178921979,0.6611169843829319,0.14636574657357104,0.6838449565597875,1.1788319869143749e-6,6.535783330097189e-7,0.00128191963380208,8.639472284244221e-7,0,NA,0.3093389904902424,0.2408519515000445,0.1881332033469152,0.0053836980523354,0.00712863377207573,0.00533537087731939,0.8708628734417916,0.46525057451741825,0.4102320537461788
d_ext,0.29730438100103956,0.11060679269023337,0.09515628735029934,0.29730438100103956,0.11060679269023337,0.09515628735029934,0.28241125188638694,0.09856370194258852,0.03200500905848914,0.1591090326411238,0.05255482485755233,0.0714567483470051,NA,0.4560558465831641,0.5641983104037988,0.4029999929963523,0.17088522039011556,0.17022676208168225,0.2973043810010396,0.18646237168345728,0.18244425284743507,0,3.017183850073657e-5,0.0053836980523354,0,3.017183850073657e-5,0.0053836980523354,5.6087280819738794e-8,0.11706978877487906,0.7502134433204724,0.02161121589751258,0.324866700757239,0.3093389904902424,NA,0,0,0,2.034838963993479e-11,1.1788319869143749e-6,0,7.743583552155542e-12,2.487822259311656e-8
d_int,0.1864623716834571,0.19414097780998107,0.09006124616187208,0.1864623716834571,0.19414097780998105,0.09006124616187203,0.06315023051629715,0.0469043332852421,0.07541996984828861,0.07163946965154988,0.07745029598019217,-0.08521360139021882,0.4560558465831641,NA,0.6034040285673135,0.17088522039011553,0.29961302323503847,0.1769667593495275,0.1106067926902334,0.1941409778099811,0.1639054837013036,7.743583552155542e-12,3.9968028886505635e-15,0.00712863377207551,7.743583552155542e-12,3.9968028886505635e-15,0.00712863377207573,0.25727485734754385,0.4651976134025144,0.4499276852972631,0.31686048282624824,0.15029738459082753,0.2408519515000445,0,NA,0,2.034838963993479e-11,0,6.535783330097189e-7,3.017183850073657e-5,3.9968028886505635e-15,7.02638982552628e-8
d_thd,0.18244425284743496,0.16390548370130356,0.11799285448459965,0.18244425284743496,0.1639054837013036,0.11799285448459967,0.07658779604910011,-0.01454759857710227,0.15926254802209375,0.02710779591041138,0.07755720418262942,-0.15061977312337152,0.5641983104037988,0.6034040285673135,NA,0.1702267620816822,0.1769667593495275,0.20298221731189428,0.09515628735029937,0.09006124616187217,0.11799285448459962,2.487822259311656e-8,7.02638982552628e-8,0.00533537087731939,2.487822259311656e-8,7.02638982552628e-8,0.00533537087731939,0.33649300644291036,0.881765171233587,0.2448471981039395,0.7897368564869889,0.32506797447019875,0.1881332033469152,0,0,NA,1.1788319869143749e-6,6.535783330097189e-7,0.00128191963380208,0.00538369805233562,0.00712863377207551,0.00533537087731961
m_ext,0.23028535724098723,-0.115143256490602,-0.08090128434522782,0.31274154944347415,-0.0762072492227076,0.03718685360389293,0.2973043810010395,0.11060679269023337,0.09515628735029928,0.29730438100103956,0.11060679269023337,0.09515628735029934,0.4029999929963523,0.17088522039011553,0.1702267620816822,NA,0.4560558465831641,0.5641983104037988,0.29730438100103956,0.18646237168345725,0.182444252847435,4.492454327647e-4,0.17928172081069935,0.5533140720578866,3.72765423701793e-5,0.2766840941493893,0.6898800544466299,0,3.017183850073657e-5,0.00538369805233562,0,3.017183850073657e-5,0.0053836980523354,0,2.034838963993479e-11,1.1788319869143749e-6,NA,0,0,0,7.743583552155542e-12,2.487822259311656e-8
m_int,0.1962550106452264,0.05056139752993872,-0.02223931678363771,0.08969739430450105,0.03448580315296468,0.05997215449953544,0.18646237168345725,0.1941409778099812,0.0900612461618722,0.1864623716834571,0.19414097780998107,0.09006124616187208,0.17088522039011556,0.29961302323503847,0.1769667593495275,0.4560558465831641,NA,0.6034040285673133,0.11060679269023338,0.1941409778099811,0.16390548370130356,3.739882616369261e-4,0.44785212541771946,0.83035573351536,0.210902230390261,0.5362776360097665,0.4302723735125286,7.743583552155542e-12,3.9968028886505635e-15,0.00712863377207551,7.743583552155542e-12,3.9968028886505635e-15,0.00712863377207573,2.034838963993479e-11,0,6.535783330097189e-7,0,NA,0,3.017183850073657e-5,3.9968028886505635e-15,7.02638982552628e-8
m_thd,0.23081284717237063,-0.2064549624964882,-0.21015993836093297,0.19370044631712496,-0.09219563651291186,-0.01246018539895467,0.18244425284743496,0.1639054837013035,0.11799285448459965,0.18244425284743496,0.16390548370130356,0.11799285448459965,0.17022676208168225,0.1769667593495275,0.20298221731189428,0.5641983104037988,0.6034040285673133,NA,0.09515628735029937,0.09006124616187212,0.11799285448459965,0.00186872199968979,0.04034792755867134,0.2274440575125576,0.03170293265629498,0.24055324667360933,0.907130468941264,2.487822259311656e-8,7.02638982552628e-8,0.00533537087731939,2.487822259311656e-8,7.02638982552628e-8,0.00533537087731939,1.1788319869143749e-6,6.535783330097189e-7,0.00128191963380208,0,0,NA,0.0053836980523354,0.00712863377207551,0.00533537087731939
c_ext,0.17723574029448314,-0.0472968889608952,-0.11361990753035164,0.2392212488324303,0.09504211635150872,0.03682977918227995,0.21234991790302565,0.04110922871364925,-0.0544641262316078,0.1526106240896306,0.05757445064082892,-0.01148119665177215,0.2973043810010396,0.1106067926902334,0.09515628735029937,0.29730438100103956,0.11060679269023338,0.09515628735029937,NA,0.2136510143297684,0.3289537326266068,0.00155308901898854,0.4803170870108764,0.27076472430809506,7.190951200697349e-4,0.08873147549677873,0.6294848478674562,7.474601743528986e-5,0.5143061895749799,0.5739960339215253,0.03132605813263312,0.2782096169732715,0.8708628734417916,0,3.017183850073657e-5,0.00538369805233562,0,3.017183850073657e-5,0.0053836980523354,NA,3.7175304733683134e-5,9.490030761227786e-9
c_int,0.2092921646547089,0.08389944125323315,0.07765765959957696,0.10339012142067495,0.05814417942437484,-0.01990001529317814,0.1743628415624454,0.02329945250820848,-0.02720523434673054,0.03611980591979846,0.04921865653828767,-0.05302885051934207,0.18646237168345728,0.1941409778099811,0.09006124616187217,0.18646237168345725,0.1941409778099811,0.09006124616187212,0.2136510143297684,NA,0.5725933349787149,3.1247413817436787e-4,0.23102498568093568,0.48236570101493426,0.1698747168502268,0.3178901817013635,0.800547916498763,0.00208012051544748,0.7221919621723376,0.7871543769510843,0.6251145898133226,0.37188545228703473,0.46525057451741825,7.743583552155542e-12,3.9968028886505635e-15,0.00712863377207551,7.743583552155542e-12,3.9968028886505635e-15,0.00712863377207551,3.7175304733683134e-5,NA,0
